code;Texte;Type;commentaires;
analysedelarecetteempreintefoncieregraphiques;"Dans un graphique ""camembert "" vous pouvez visualiser la part relative de chaque aliment dans l'empreinte écologique de votre recette.
Puis deux graphiques en ""bâtons"" vous indiquent les [L]empreintes écologiques foncières[/L] de chaque aliment pour une portion (= par convive) soit pour l'ensemble du service (= nombre de couverts que vous avez saisis lors de la création de votre recette).
Enfin un dernier graphique vous permet de comparer la part des aliments en quantité dans la recette et la part de leur empreinte foncière dans cette même recette.";Cadre bleu;"texte introductif de la rubrique analyse de la recette ""empreinte foncière"" onglet Graphiques située sous l'onglet et donc audessus du titre de la recette";x
analysedelarecetteprix;"Le prix retenu est celui de la recette si vous l'avez saisi, sinon c'est la compilation des prix des composants de la recette qui sont présentés. 
Dans l'onglet graphique un camembert présente la part de chaque aliment dans le prix de la recette si ces informations ont été saisies. En leur absence il n'y a aucun graphique.";Cadre bleu;"texte introductif de la rubrique analyse de la recette ""prix""  située sous le titre ""prix"" et au dessus des onglets";x
commentaireanalyserecetteempreitnefoncierevpo;"[i]Réduire l'impact écologique des produits animaux peut passer non seulement par la réduction des grammages (en respectant bien sûr les besoins nutritionnels des convives), mais aussi par le choix de l'espèce ou du mode de production…[/i]
En effet l'empreinte écologique foncière varie suivant le type de viande cuisinée. Ainsi l'empreinte du boeuf est de l'ordre, suivant les morceaux de  68 - 96 m²g/Kg alors que celle d'une volaille tourne autour  de 21 – 29 m²g/Kg.  
Mais l'impact écologique dépend également des modes d'élevage des animaux que ne prennent pas en compte ces empreintes moyennes. L'impact d'un élevage hors sol utilisant du soja importé d'Amérique du Sud où il est cultivé après déforestation et celui d'animaux élevés à l'herbe et au foin dans des régions montagneuses,valorisant des terres qui ne peuvent pas produire directement d'aliments pour les humains n'est évidement pas le même. 
Par ailleurs une viande de qualité (label) réduit moins à la cuisson que les viandes issues de l'élevage industriel, car elle contiennent moins d'eau. Ainsi pour une quantité donnée de viande crue, la portion de viande cuite dans l'assiette varie en fonction du type d'élevage.En effet l'empreinte écologique foncière varie suivant le type de viande cuisinée. 

[L]Pour aller plus loin[/] – [L]Comparaison de l'EE de différents menus en fonction de la quantité de viande.[/]";!;commentaire des résultatsd'analyse - bulle quand on survole le bouton VPO -;
commentaireanalyserecetteempreintefoncierecerealesfeculents;"La présence de céréales complètes ou semi-complètes (pain , pâtes, farines...) et de légumineuses permet d'équilibrer le repas en protéines sans utiliser une trop grosse quantité de viande, ce qui permet de limiter l'EE du repas. 
En effet les céréales et légumineuses sont relativement riches en protéines et pas seulement en amidon. L'association céréales-légumineuses permet des apports en protéines de qualité permettant de réduire la quantité de viande du repas. Mais toutes les céréales ne se valent pas : trop raffinées elles perdent une grande partie de leur richesse en protéine et aussi en minéraux.

[L]Pour aller plus loin[/] – [L]Pour aller plus loin – Comparaison de l'EE de différents menus en fonction de la quantité de viande - céréales-légumineuses.[/L]";!;commentaire des résultats d'analyse - bulle quand on survole le bouton cereales_feculents -;
commentaireanalyserecettetransport;"Réduire l'impact écologique du transports des aliments peut certes passer par favoriser des produits d'origine locale mais en travaillant à améliorer la logistique, On peut également privilégier le transport en bateau par rapport à l'avion pour les produits lointains...

En fait il est difficile de connaître précisément l'origine et le parcours des aliments que nous utilisons. Même pour des produits non transformés, ceux-ci peuvant avoir suivi des itinéraires assez peu cohérents du point de vue des km parcourus, du fait de passage par des plateformes de distributions par exemple. Et quand il s'agit de produits transformés et composés, cela devient un casse-tête et l'information n'est accessible qu'après une enquête digne d'un détective pour retracer le parcours de chaque composant depuis le lieu de production à celui de consommation en passant par les transformations, emballages, stockages... 
Par ailleurs, même quand on connaît l'itinéraire parcouru, les résultats d'empreinte des transports sont des moyennes, mais la réalité varie énormément en fonction non seulement du mode de transport (l'empreinte écologique du transport en avion est par exemple très supérieure à celle du bateau), mais aussi de la logistique : le camion est il plein ? Rentre t il à vide après sa livraison ou transporte t il d'autres marchandises au retour ? Son circuit de livraison est-il cohérent ?...

[L]Pour aller plus loin[/] – [L]Comparaison de l'EE de différents menus en fonction de l'origine des aliments.[/L]";Cadre jaune;commentaire des résultats d'analyse rubrique transport(en dessous du tableau des résultats);x
composerunerecette;"Avant de composer votre recette vous pouvez choisir les modules complémentaires à l'empreinte foncière que vous voudrez analyser. 
En effet, l'impact écologique de ce que l'on mange dépend de nombreux facteurs : les aliments sont-ils de saison ? Comment ont-ils été produits ? Viennent-ils de loin ? Vous avez le choix de sélectionner ou non chacune de ces fonctionnalités du calculateur : [g]Saisonnalité, Mode de production, Transport.[/g]
 Le [g]prix[/g] étant un élément important des prises de décision alimentaires, vous pouvez également choisir de renseigner ces données. Si vous choisissez un module que finalement vous n'utilisez pas ça ne pose pas de problème, de même vous pourrez rajouter un module à votre recette à n'importe quel moment de la création de la recette.
Cliquez sur les modules que vous souhaitez activer et validez votre sélection.";Cadre bleu;texte introductif de composer sa recette;x
composerunerecettemodulesaisonnalite;Le module Saisonnalité offre une aide pour savoir si la période de consommation du produit est adaptée.;Simple;texte explicatif du module saisonnalité, en dessous du titre du module à sélectionner;
composerunerecettemoduleproduction;Ce module vous permet de définir les modes de production et de conservation des aliments.;Simple;;
composerunerecettemoduletransport;Si vous avez la possibilité d'indiquer la provenance des aliments pour pourrez bénéficier d'une analyse sur l'impact des transports.;Simple;;
composerunerecettemoduleprix;En indiquant le prix des aliments, un calcul du prix par recette et menu vous sera proposé.;Simple;;
composerunerecetteformulaire;"Veuillez remplir le formulaire suivant pour renseigner les informations essentielles pour qualifier votre recette. 
Vous pourrez  effectuer des modifications et remplir plus tard les champs du formulaire que vous ne pouvez renseigner maintenant..
Vous pouvez également à tout moment revenir à la sélection des modules pour en rajouter ou supprimer, à condition d'enregistrer la recette au préalable. Pour revenir à l'étape choix des modules il vous suffit alors de cliquer sur le bouton ""choix des modules"" du menu à gauche en haut de votre écran.";cadre bleu;explication du remplissage du formulaire de saisie de recette;
creernomdelarecette;"Indiquez ici le nom de votre recette. Prenez le temps de réfléchir à trouver la meilleure formulation, vous en aurez besoin quand vous rechercherez vos recettes. Si vous choisissez de la partager avec les autres utilisateurs, il est important que le nom soit clair et parle à tous. 
Outre le nom du plat, vous pouvez également rajouter une info liée à cette recette. Dans ce cas séparez cette info avec un tiret. Exemple : Ratatouille-Semaine du gout
Vous pouvez éventuellement rajouter dans le titre la date à laquelle vous avez ou vous allez la préparer. Dans ce cas respectez la présentation jj/mm/aaaa et mettez la date à la fin du nom.   Par exemple : Ratatouille-Semaine du gout-16/10/2012";?;;
creercomposante;Indique la nature de la recette: entrée, plat, fromage/dessert, pain. Cela facilitera des recherches ultérieures.;?;;
creernombreconvives;Pour combien de personnes votre recette est-elle prévue ? Par défaut la valeur est 100. Les résultats de l'analyse vous seront donné plus tard pour ce nombre de personnes (=pour ce service) et par personne (=par convive).;?;;
creerpartager;"Par défaut votre recette est proposée comme étant partagée par tous les utilisateurs du calculateur. Mais vous pouvez choisir de ""ne pas partager"". Ce choix reste modifiable à tout moment.";?;;
creertypederecette;Cette fonctionnalité est réservée aux administrateurs;?;;
creerdateprevisionnelledeconsommation;Précisez ici la date à laquelle cette recette a été ou va être servie en la sélectionnant dans le calendrier proposé quand vous cliquez sur le champ grisé. C'est à partir de cette date que sera analysée la saisonnalité des aliments composant la recette.;?;;
composerunerecette;"Cliquez sur un aliment pour l'ajouter à votre recette. Vous pouvez chercher dans la base des aliments en filtrant par famille ou par nom. 
Vous pourrez alors saisir le grammage ainsi que diverses informations sur l'origine de l'aliment : mode de production, de conservation, provenance, prix. 
Une fois votre choix validé, la liste d'aliments s'affiche à droite de votre écran sous le titre ""composition de votre recette"".";Cadre bleu;texte introductif à la page d'ajout d'aliments à une recette;
fenetrealiment;"En fonction des modules choisis, il vous est possible de saisir différentes informations.
Veuillez renseigner les informations demandées dans chacun des onglets ci dessous pour avoir une analyse la plus complète de votre recette. Quand vous avez fini de saisir vos informations, cliquez sur ""ajouter l'aliment à la recette.";Cadre bleu;texte de présentation de la fenetre de saisie des informations sur l'aliment d'une recette;
fenetrealimentongletquantite;Indiquez la quantité d'aliment en kilogrammes, en séparant les décimales par un point.;?;"texte explicatif du champ ""quantité"" de l'onglet ""quantité"" dans la fenetre de saisie de l'aliment d'une recette";
fenetrealimentongletproductionconservationmodedeproduction;"Sélectionnez dans le menu déroulant le mode de production agricole de l'aliment. Si vous n'avez pas l'information laissez le champs sur ""indéfini"".";?;"texte explicatif du champ ""mode de production"" de l'onglet production conservation dans la fenetre de saisie de l'aliment d'une recette";
fenetrealimentongletproductionconservationmodedeconservation;"Sélectionnez dans le menu déroulant le mode de conservation de l'aliment. Si vous n'avez pas l'information laissez le champs sur ""indéfini"".";?;"texte explicatif du champ ""mode de conservation"" de l'onglet production conservation dans la fenetre de saisie de l'aliment d'une recette";
fenetrealimentonglettransportprovenance;"Indiquez à l'aide du menu déroulant la provenance approximative de votre aliment si vous n'avez pas de données précises. Vous pouvez également détailler la provenance en choisissant ""préciser"".";?;"texte explicatif du champ ""provenance"" de l'onglet transport dans la fenetre de saisie de l'aliment d'une recette";
fenetrealimentonglettransportitineraire;"Indiquezdans l'ordre toutes les étapes dont vous avez connaissance de l'itinéraire de l'aliment depuis le lieu de production jusqu'au lieu de départ de votre livraison  (lieu de production lieux de stockage, lieux de transformation, plate formes de distribution, magasin….). 
En tapant 3 lettres du nom du lieu recherché, l'application vous proposera les communes ou noms de pays contenant ces lettres, vous n'aurez plus qu'à choisir dans la liste proposée.";?;"texte explicatif du champ ""itineraire"" de l'onglet transport dans la fenetre de saisie de l'aliment d'une recette";
fenetrealimentongletprix;"Indiquez le prix au kg en euros, en séparant les décimales par un point, et préciser s'il s'agit du prix HT ou TTC. Ce prix servira à calculer le prix de la recette finale. 
Vous pouvez également saisir  le prix global de la recette complète ou le prix global d'un menu dans les pages de saisie recette / informations et menu. Dans ce cas les prix pris en compte lors de l'analyse seront par défaut le prix global du menu, en son absence, le prix globale des recettes et en leur absence le prix des ingrédients des recettes.";?;"texte explicatif du champ ""prix"" de l'onglet prix dans la fenetre de saisie de l'aliment d'une recette";
composerunmenu;"Avant de composer votre menu vous pouvez choisir les modules complémentaires à l'empreinte foncière que vous pourrez analyser. 
En effet, l'impact écologique de ce que l'on mange dépend de nombreux facteurs : les aliments sont-ils de saison ? Comment ont-ils été produits ? Viennent-ils de loin ? Vous avez le choix de sélectionner ou non chacune de ces fonctionnalités du calculateur : Saisonnalité, Mode de production, Origine et transport. Le prix étant un élément important des prises de décision alimentaires, vous pouvez également choisir de renseigner ces données. Si vous choisissez un module que finalement vous n'utilisez pas, ça ne pose pas de problème, de même vous pourrez rajouter un module à votre analyse à n'importe quel moment de la création du menu
Cliquez sur les modules que vous souhaitez activer et validez votre sélection.";Cadre bleu;texte introductif de composer son menu;
composerunmenumodulesaisonnalite;Le module Saisonnalité offre une aide pour savoir si la période de consommation des aliments est adaptée. ;Info formulaire;texte explicatif du module saisonnalité, en dessous du titre du module à sélectionner;
composerunmenumoduleproduction;Ce module vous permet de définir les modes de production et de conservation des aliments.;Info formulaire;;
composerunmenumoduletransport;Si vous avez la possibilité d'indiquer la provenance des aliments pour pourrez bénéficier d'une analyse sur l'impact des transports.;Info formulaire;;
composerunmenumoduleprix;En indiquant le prix des recettes utilisées, un calcul du prix du menu vous sera proposé.;Info formulaire;;
composerunmenuformulaire;"Veuillez remplir le formulaire suivant pour renseigner les informations essentielles pour qualifier votre menu.
Vous pourrez  effectuer des modifications et remplir plus tard les champs du formulaire que vous ne pouvez renseigner maintenant..
Vous pouvez également à tout moment revenir à la sélection des modules pour en rajouter ou supprimer, à condition d'enregistrer le menu au préalable. Pour revenir à l'étape choix des modules il vous suffit alors de cliquer sur le bouton ""choix des modules"" du menu à gauche en haut de votre écran.";cadre bleu;explication du remplissage du formulaire de saisie de menu;
creernomdumenu;"Indiquez ici le nom de votre recette. Prenez le temps de réfléchir à trouver la meilleure formulation, vous en aurez besoin quand vous rechercherez vos menus. Si vous choisissez de le partager avec les autres utilisateurs, il est également important que le nom soit clair et parle à tous. 
Vous pouvez préciser le repas (matin, midi, soir), utiliser le nom du plat principal par exemple, rajouter une info caractéristique de ce menu. Séparez les infos avec un tiret. Exemple : Midi-Ratatouille-Semaine du goût
Vous pouvez éventuellement rajouter dans le titre la date à laquelle vous avez ou vous allez la préparer. Dans ce cas respectez la présentation jj/mm/aaaa et mettez la date à la fin du nom.   Par exemple :Midi-Ratatouille-Semaine du gout-16/10/2012";?;;
creernombreconvives;Pour combien de personnes votre menu est-il prévue ? Par défaut la valeur est 100. Les résultats de l'analyse vous seront donné plus tard pour ce nombre de personne (=pour ce service) et par personne (=par convive).;?;;
creerpartager;"Par défaut votre menu est proposé comme étant partagée par tous les utilisateurs du calculateur. Mais vous pouvez choisir de ""ne pas partager"". Ce choix reste modifiable à tout moment.";?;;
creertypedemenu;Cette fonctionnalité est réservée aux administrateurs;?;;
creerdateprevisionnelledeconsommationmenu;Précisez ici la date à laquelle ce menu a été ou va être servi en la sélectionnant dans le calendrier proposé quand vous cliquez sur le champ grisé. C'est à partir de cette date que sera calculée la saisonnalité des aliments composant la recette.;?;;
composerunmenu;;;;
fenetrealiment;;;;
fenetrealimentongletquantite;;;;
fenetrealimentongletproductionconservationmodedeproduction;;;;
fenetrealimentongletproductionconservationmodedeconservation;;;;
fenetrealimentonglettransportprovenance;;;;
fenetrealimentonglettransportitineraire;;;;
fenetrealimentongletprix;;;;
